[2022-05-20 18:14:35] [info]  [ 7560] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-05-20 18:14:36] [info]  [ 7560] Running Service 'Tomcat'...
[2022-05-20 18:14:36] [info]  [15148] Starting service...
[2022-05-20 18:15:01] [info]  [15148] Service started in 25726 milliseconds.
[2022-05-20 18:30:57] [info]  [ 6388] Console SHUTDOWN event signaled.
[2022-05-20 18:30:57] [info]  [ 6388] Stopping service...
[2022-05-20 18:30:58] [info]  [ 6388] Service stop thread completed.
[2022-05-20 18:30:58] [info]  [ 7560] Run service finished.
[2022-05-20 18:30:58] [info]  [ 7560] Apache Commons Daemon procrun finished.
[2022-05-20 18:33:38] [info]  [10452] Apache Commons Daemon procrun (1.2.4.0 64-bit) started.
[2022-05-20 18:33:38] [info]  [10452] Running Service 'Tomcat'...
[2022-05-20 18:33:38] [info]  [ 1276] Starting service...
[2022-05-20 18:34:04] [info]  [ 1276] Service started in 25965 milliseconds.
